...1,St.16,St.15,St.14,St.13,St.12,St.10,St.9,St.8,St.7,St.6,St.5,St.4,St.3,St.2,St.1,St.20,St.17,St.19,St.30,St.31,St.18,St.33,rel_grotenete1,St.27,St.28,St.29,St.34,St.26,St.25,St.32,St.11,St.23,St.22,St.21,St.24,rel_grotenete3,rel_grotenete2
St.5,40977.5160660513,38728.981376633,34390.6036322829,33283.5415807608,30486.5938488512,20668.7129387827,17371.7579276699,10746.3688546415,6325.24743385645,2138.41031427918,0,424.253116423457,2189.87680998476,4262.59935716074,8556.58894229184,13150.5344461274,20575.7090713975,24021.1681992743,36529.4176867092,43996.1458332646,44137.5635387389,58549.527224293,42026.0252105782,30880.8415735107,30580.8372059887,36287.9985253944,62405.1473940434,32980.6218272732,34929.0552515343,58590.9515487296,25606.9379221179,42737.212090048,45327.1350974102,48665.5709565802,40081.6174651899,41018.932315685,41218.9352273663
St.4,41401.7691824748,39153.2344930565,34814.8567487064,33707.7946971843,30910.8469652747,21092.9660552061,17796.0110440934,11170.6219710649,6749.50055027991,2562.66343070264,424.253116423457,0,1765.62369356131,3838.34624073729,8132.33582586838,12726.281329704,20151.455954974,23596.9150828509,36105.1645702858,43571.8927168411,43713.3104223154,58125.2741078696,42450.2783270017,30456.5884570872,30156.5840895653,35863.7454089709,61980.8942776199,32556.3687108497,34504.8021351108,58166.6984323061,26031.1910385414,42312.9589736246,44902.8819809867,48241.3178401567,39657.3643487664,41443.1854321085,41643.1883437898
St.3,43167.3928760361,40918.8581866178,36580.4804422677,35473.4183907456,32676.470658836,22858.5897487674,19561.6347376547,12936.2456646262,8515.12424384122,4328.28712426395,2189.87680998476,1765.62369356131,0,2072.72254717598,6366.71213230708,10960.6576361426,18385.8322614127,21831.2913892896,34339.5408767244,41806.2690232798,41947.6867287541,56359.6504143082,44215.902020563,28690.9647635259,28390.960396004,34098.1217154096,60215.2705840586,30790.7450172884,32739.1784415495,56401.0747387448,27796.8147321027,40547.3352800632,43137.2582874254,46475.6941465954,37891.7406552051,43208.8091256698,43408.8120373511
St.2,45240.1154232121,42991.5807337938,38653.2029894437,37546.1409379216,34749.193206012,24931.3122959434,21634.3572848307,15008.9682118022,10587.8467910172,6401.00967143992,4262.59935716074,3838.34624073729,2072.72254717598,0,4293.9895851311,8887.93508896666,16313.1097142368,19758.5688421136,32266.8183295485,39733.5464761038,39874.9641815781,54286.9278671323,46288.624567739,26618.24221635,26318.237848828,32025.399168233602,58142.5480368826,28718.0224701125,30666.4558943735,54328.3521915688,29869.5372792787,38474.6127328873,41064.5357402494,44402.9715994194,35819.0181080291,45281.5316728458,45481.5345845271
St.1,49534.1050083432,47285.5703189249,42947.1925745748,41840.1305230527,39043.1827911431,29225.3018810745,25928.3468699617,19302.9577969333,14881.8363761483,10694.999256571,8556.58894229184,8132.33582586838,6366.71213230708,4293.9895851311,0,4593.94550383556,12019.1201291056,15464.5792569825,27972.8287444174,35439.5568909727,35580.974596447,49992.9382820011,50582.6141528701,22324.2526312189,22024.2482636969,27731.4095831025,53848.5584517515,24424.0328849814,26372.4663092424,50034.3626064377,34163.5268644097,34180.6231477561,36770.5461551183,40108.9820142883,31525.028522898,49575.5212579769,49775.5241696582
St.20,54128.0505121788,51879.5158227605,47541.1380784104,46434.0760268883,43637.1282949787,33819.2473849101,30522.2923737973,23896.9033007689,19475.7818799839,15288.9447604066,13150.5344461274,12726.281329704,10960.6576361426,8887.93508896666,4593.94550383556,0,7425.17462527007,10870.6337531469,23378.8832405818,30845.6113871371,30987.0290926114,45398.9927781655,55176.5596567057,17730.3071273833,17430.3027598614,23137.464079267,49254.6129479159,19830.0873811458,21778.5208054069,45440.4171026021,38757.4723682453,29586.6776439206,32176.6006512827,35515.0365104527,26931.0830190625,54169.4667618125,54369.4696734938
St.17,61553.2251374489,59304.6904480306,54966.3127036805,53859.2506521584,51062.3029202488,41244.4220101802,37947.4669990674,31322.0779260389,26900.9565052539,22714.1193856767,20575.7090713975,20151.455954974,18385.8322614127,16313.1097142368,12019.1201291056,7425.17462527007,0,3445.45912787687,15953.7086153118,23420.4367618671,23561.8544673413,37973.8181528954,62601.7342819758,10305.1325021133,10005.1281345913,15712.289453997,41829.4383226458,12404.9127558758,14353.3461801368,38015.2424773319,46182.6469935155,22161.5030186505,24751.4260260126,28089.8618851826,19505.9083937924,61594.6413870826,61794.6442987639
St.19,64998.6842653258,62750.1495759075,58411.7718315574,57304.7097800353,54507.7620481257,44689.8811380571,41392.9261269443,34767.5370539158,30346.4156331307,26159.5785135535,24021.1681992743,23596.9150828509,21831.2913892896,19758.5688421136,15464.5792569825,10870.6337531469,3445.45912787687,0,12508.249487435,19974.9776339902,20116.3953394645,34528.3590250185,66047.1934098527,6859.67337423643,6559.66900671446,12266.8303261201,38383.9791947689,8959.45362799893,10907.88705226,34569.7833494551,49628.1061213924,18716.0438907737,21305.9668981358,24644.4027573058,16060.4492659156,65040.1005149595,65240.1034266408
St.30,77506.9337527606,75258.3990633423,70920.0213189923,69812.9592674702,67016.0115355606,57198.130625492,53901.1756143793,47275.7865413508,42854.6651205657,38667.8280009884,36529.4176867092,36105.1645702858,34339.5408767244,32266.8183295485,27972.8287444174,23378.8832405818,15953.7086153118,12508.249487435,0,7466.72814655529,7608.14585202956,22020.1095375836,78555.4428972876,5648.57611319853,5948.58048072049,241.419161314839,25875.729707334,13400.9581590318,15349.3915832929,22061.5338620201,62136.3556088273,23157.5484218066,25747.4714291687,29085.9072883387,20501.9537969485,77548.3500023944,77748.3529140757
St.31,84973.6618993158,82725.1272098976,78386.7494655475,77279.6874140255,74482.7396821159,64664.8587720474,61367.9037609346,54742.5146879061,50321.3932671211,46134.5561475438,43996.1458332646,43571.8927168411,41806.2690232798,39733.5464761038,35439.5568909727,30845.6113871371,23420.4367618671,19974.9776339902,7466.72814655529,0,141.417705474266,14553.3813910283,86022.1710438428,13115.3042597538,13415.3086272758,7708.14730787013,18409.0015607787,20867.6863055871,22816.1197298482,14594.8057154649,69603.0837553826,30624.2765683618,33214.1995757239,36552.635434894,27968.6819435037,85015.0781489496,85215.0810606309
