Station.name,ws-53A,ws-borssele,ws-WN2,ws-42A,ws-HW6,ws-18,ws-16,ws-12A,ws-15,ws-6,ws-55,ws-13,ws-PVTSS,ws-4,ws-F42,ws-OGDL,ws-OG10,ws-11,ws-15A,ws-A1,ws-W7,ws-A3,ws-2C,ws-25A,ws-TRAWL,ws-F53,ws-12,ws-14,ws-A5,ws-STEEN,ws-25B,ws-23,ws-PPC,ws-DL12,ws-DL7,ws-25,ws-53,acoustic_project_code,Latitude,Longitude,Type,Array,Section
me-7-2b,59638.2292783056,85212.1741165641,101728.202495543,59876.7653528674,60915.2484757317,77005.5577869553,78115.4948504276,79759.6882834171,82765.2397384481,82372.4010744045,59123.9926529024,83717.9992004891,83369.4598728315,82762.364726498,60025.3179184496,99885.4071366853,100641.062923404,84025.1142037095,82355.2563422399,82328.1017380185,101399.682912,81818.1249607725,83473.7131020271,79239.7016341143,101683.903159156,60186.755368038,80511.076147175,78966.8760952226,81349.5725079632,100765.433161445,78088.3402462056,80515.3359953329,82198.0787408092,100768.20283386,102916.623020196,79739.668539303,59986.7686059625,dijle,51.1008,4.330483,Hydrophone,A1,River
s-9a,47129.9797908706,72703.9246291292,89219.9530081083,47368.5158654324,48406.9989882967,64497.3082995204,65607.2453629927,67251.4387959822,70256.9902510132,69864.1515869696,46615.7431654675,71209.7497130542,70861.2103853966,70254.1152390631,47517.0684310146,87377.1576492504,88132.8134359692,71516.8647162746,69847.006854805,69819.8522505836,88891.4334245653,69309.8754733376,70965.4636145922,66731.4521466794,89175.6536717216,47678.505880603,68002.8266597401,66458.6266077876,68841.3230205282,88257.1836740105,65580.0907587707,68007.086507898,69689.8292533743,88259.9533464251,90408.373532761,67231.4190518681,47478.5191185275,zeeschelde,51.19068,4.33602,Hydrophone,A1,River
s-10a,39663.2516443152,65237.196482574,81753.2248615531,39901.7877188771,40940.2708417414,57030.5801529651,58140.5172164374,59784.7106494269,62790.262104458,62397.4234404144,39149.0150189121,63743.021566499,63394.4822388414,62787.3870925079,40050.3402844592,79910.4295026952,80666.085289414,64050.1365697194,62380.2787082497,62353.1241040283,81424.7052780102,61843.1473267823,63498.7354680369,59264.7240001241,81708.9255251664,40211.7777340476,60536.0985131848,58991.8984612323,61374.594873973,80790.4555274553,58113.3626122153,60540.3583613427,62223.1011068191,80793.22519987,82941.6453862058,59764.6909053127,40011.7909719722,zeeschelde,51.235423,4.396673,Hydrophone,A1,River
ak-41,39521.833938841,65095.7787770998,81611.8071560788,39760.3700134028,40798.8531362671,56889.1624474908,57999.0995109631,59643.2929439526,62648.8443989837,62256.0057349401,39007.5973134378,63601.6038610247,63253.0645333671,62645.9693870336,39908.922578985,79769.011797221,80524.6675839397,63908.7188642451,62238.8610027754,62211.7063985541,81283.2875725359,61701.729621308,63357.3177625627,59123.3062946499,81567.5078196921,40070.3600285734,60394.6808077105,58850.4807557581,61233.1771684987,80649.037821981,57971.9449067411,60398.9406558684,62081.6834013448,80651.8074943957,82800.2276807316,59623.2731998385,39870.3732664979,albert,51.239128,4.397469,Hydrophone,A1,River
s-12,25109.8702532869,50683.8150915457,67199.843470525,25348.4063278487,26386.8894507131,42477.1987619367,43587.135825409,45231.3292583985,48236.8807134296,47844.042049386,24595.6336278838,49189.6401754706,48841.100847813,48234.0057014795,25496.9588934309,65357.0481116671,66112.7038983858,49496.755178691,47826.8973172213,47799.7427129999,66871.323886982,47289.7659357539,48945.3540770086,44711.3426090957,67155.5441341383,25658.3963430193,45982.7171221564,44438.5170702039,46821.2134829446,66237.0741364272,43559.981221187,45986.9769703143,47669.7197157907,66239.8438088418,68388.2639951777,45211.3095142844,25458.4095809439,zeeschelde,51.30305,4.28731,Hydrophone,A1,River
ws-53A,0,25988.1880826241,42504.2164616033,1424.26767482934,2682.8703511249,17781.5717530151,18891.5088164874,20535.7022494769,23541.253704508,23148.4150404644,1041.43080804016,24494.013166549,24145.4738388914,23538.3786925579,2065.69265950754,40661.4211027454,41417.0768894642,24801.1281697694,23131.2703082997,23104.1157040783,42175.6968780604,22594.1389268323,24249.727068087,20015.7156001741,42459.9171252166,724.257483944762,21287.0901132348,19742.8900612823,22125.586474023,41541.4471275055,18864.3542122654,21291.3499613927,22974.0927068691,41544.2167999202,43692.6369862561,20515.6825053628,641.424984677539,NA,NA,NA,NA,NA,NA
ws-borssele,25988.1880826241,0,17106.0030175571,26826.6844434122,26865.2337558993,12389.1851591305,11109.3474733755,9139.59021682185,5082.90529130127,4831.39550989958,26088.1814636618,2782.87180696556,3424.29679164376,4089.96906938139,27175.2237710699,14848.9644143338,15604.6202010525,2241.44827812867,6072.82922962105,7138.50733072205,18434.456411477,8169.84751867552,1972.76954015355,10995.1893445614,16647.4604368049,25936.7538861301,8125.41898544189,10053.7599923612,9301.18916246957,17965.9039586683,12175.0255744758,10115.3574821689,9652.70039971257,15731.7601115085,17880.1802978444,10788.1080963933,26136.7406482055,NA,NA,NA,NA,NA,NA
ws-WN2,42504.2164616033,17106.0030175571,0,43342.7128223915,43381.2621348785,28202.2879612602,26512.4103556763,23956.8817850817,18962.9627570954,19355.8014211389,42604.209842641,18010.2032950543,18358.7426227119,18965.8377690454,43691.2521500491,5449.62697080308,6566.81194162437,17703.0882918339,19952.8866954151,20725.6791394955,2207.11036498173,21815.5964588531,18254.4893935163,25636.7495186089,1307.09726241526,42452.7822651094,22708.4020280853,25163.9372176416,22946.9381026471,2924.28951244048,27285.2027997561,24112.5692107711,22595.5237630408,5318.29988541558,5131.39987742097,25136.7826134202,42652.7690271848,NA,NA,NA,NA,NA,NA
rel_grotenete1,125685.422688158,151259.367526417,167775.395905396,125923.958762719,126962.441885584,143052.751196807,144162.68826028,145806.881693269,148812.4331483,148419.594484257,125171.186062754,149765.192610341,149416.653282684,148809.55813635,126072.511328301,165932.600546538,166688.256333257,150072.307613562,148402.449752092,148375.295147871,167446.876321853,147865.318370625,149520.906511879,145286.895043966,167731.096569009,126233.94877789,146558.269557027,145014.069505075,147396.765917815,166812.626571298,144135.533656058,146562.529405185,148245.272150661,166815.396243713,168963.816430049,145786.861949155,126033.962015814,2019_Grotenete,51.144779,5.003906,Release,A1,River
s-8,52778.5559040692,78352.5007423276,94868.5291213069,53017.091978631,54055.5751014953,70145.884412719,71255.8214761913,72900.0149091807,75905.5663642117,75512.7277001681,52264.319278666,76858.3258262527,76509.7864985951,75902.6913522616,53165.6445442131,93025.7337624489,93781.3895491677,77165.4408294731,75495.5829680035,75468.4283637821,94540.0095377639,74958.4515865361,76614.0397277907,72380.028259878,94824.2297849201,53327.0819938015,73651.4027729386,72107.2027209862,74489.8991337268,93905.759787209,71228.6668719692,73655.6626210965,75338.4053665729,93908.5294596237,96056.9496459595,72879.9951650666,53127.0952317261,zeeschelde,51.14319,4.33078,Hydrophone,A1,River
