"","acoustic_project_code","station_name","deploy_latitude","deploy_longitude"
"256","life4fish","gm_2017_9",50.46610781,4.898605127
"257","life4fish","gm_2017_10",50.46601917,4.899018111
"258","life4fish","gm_2017_11",50.46599277,4.898941482
"259","life4fish","gm_2017_12",50.46599179,4.898708571
"260","life4fish","gm_2017_13",50.46588563,4.898965461
"261","life4fish","gm_2017_14",50.46591982,4.898841055
"262","life4fish","gm_2017_15",50.46573658,4.89908347
"263","life4fish","gm_2017_16",50.47858264,4.939950417
"264","life4fish","Grands-Malades_2D_amont",50.4663703,4.8983818
"265","life4fish","Grands-Malades_2D_axe_culee_4",50.4663202,4.8985965
"266","life4fish","Grands-Malades_2D_barrage",50.4662075,4.8990029
"267","life4fish","Grands-Malades_2D_centre",50.4663202,4.8987709
"268","life4fish","Grands-Malades_2D_rive_droite",50.4662473,4.8984904
"269","life4fish","Grands-Malades_aval_(RD)",50.46430362,4.908612248
"270","life4fish","Grands-Malades_aval_(RG)",50.46488815,4.909401178
"271","life4fish","Grands-Malades_culee_1_(RG)",50.4670498,4.8991866
"272","life4fish","Grands-Malades_culee_2_(MG)",50.4668298,4.8991155
"273","life4fish","Grands-Malades_culee_3_(MD)",50.4666104,4.8990673
"274","life4fish","Grands-Malades_culee_4_(RD)",50.4663885,4.8989948
"275","life4fish","Grands-Malades_ecluse",50.46573405,4.899022222
"276","life4fish","Grands-Malades_prise_d_eau_(milieu_RD)",50.4659329,4.8988931
"277","life4fish","Grands-Malades_prise_d_eau_(RD_turbines)",50.4659056,4.8990057
"278","life4fish","Grands-Malades_prise_d_eau_(RG)",50.4660268,4.8990446
"279","life4fish","ir_2017_1",50.59320397,5.460860688
"280","life4fish","ir_2017_2",50.59305879,5.46090541
"281","life4fish","ir_2017_3",50.59291214,5.460950119
"282","life4fish","ir_2017_4",50.59282067,5.461319949
"283","life4fish","ir_2017_5",50.59247385,5.460754501
"284","life4fish","ir_2017_6",50.59224875,5.460818726
"285","life4fish","ir_2017_7",50.59203261,5.460874086
"286","life4fish","ir_2017_8",50.59177524,5.460913967
"287","life4fish","ir_2017_9",50.59102951,5.46369006
"288","life4fish","ir_2017_10",50.59269224,5.460571763
"289","life4fish","ir_2017_11",50.59261296,5.460451157
"290","life4fish","ir_2017_12",50.59265081,5.46025749
"291","life4fish","ir_2017_13",50.59257254,5.460159462
"292","life4fish","ir_2017_14",50.59262119,5.460014993
"293","life4fish","ir_2017_15",50.59257601,5.45990487
"294","life4fish","ir_2017_16",50.59260806,5.459763639
"295","life4fish","ir_2017_17",50.59252039,5.459651957
"296","life4fish","ir_2017_18",50.59259487,5.459553704
"297","life4fish","ir_2017_19",50.59251505,5.459474982
"298","life4fish","ir_2017_20",50.59256111,5.45935139
"299","life4fish","ir_2017_21",50.59701569,5.480009455
"300","life4fish","lix_2017_1",50.75133434,5.685585227
"301","life4fish","lix_2017_2",50.7513928,5.685951435
"302","life4fish","lix_2017_3",50.75144734,5.686330833
"303","life4fish","lix_2017_4",50.75149,5.686697161
"304","life4fish","lix_2017_5",50.75153313,5.687080445
"305","life4fish","lix_2017_6",50.75150684,5.68759541
"306","life4fish","lix_2017_7",50.75148052,5.688049209
"307","life4fish","lix_2017_8",50.75253076,5.68808461
"308","life4fish","lix_2017_9",50.75653414,5.681601354
"309","life4fish","Lixhe_Aval_rive_droite",50.78234727,5.699431301
"310","life4fish","Lixhe_culee_1_(RD)",50.75153082,5.687113529
"311","life4fish","Lixhe_culee_2",50.7514581,5.686748457
"312","life4fish","Lixhe_culee_3",50.75140678,5.686369865
"313","life4fish","Lixhe_culee_4",50.75135117,5.686004794
"314","life4fish","Lixhe_culee_5_(RG)",50.75129984,5.685619441
"315","life4fish","Lixhe_prise_d_eau_(RD)",50.75148377,5.688019446
"316","life4fish","Lixhe_prise_d_eau_(RG)",50.75150088,5.687694938
"317","life4fish","mon_2017",50.651597,5.630614
"318","life4fish","mon_2017_1",50.65333544,5.630871708
"319","life4fish","mon_2017_2",50.65315174,5.630842568
"320","life4fish","mon_2017_3",50.65299572,5.630827617
"321","life4fish","mon_2017_4",50.6528806,5.631018468
"322","life4fish","mon_2017_5",50.65212592,5.630629793
"323","life4fish","mon_2017_6",50.65183518,5.630589624
"324","life4fish","mon_2017_7",50.65155875,5.630547011
"325","life4fish","mon_2017_8",50.65128226,5.630493331
"326","life4fish","mon_2017_9",50.65099485,5.630450571
"327","life4fish","mon_2017_10",50.65244558,5.6386696
"328","life4fish","Monsin_Aval_RD",50.65185974,5.638567513
"329","life4fish","Monsin_Aval_RG",50.65257985,5.638946105
"330","life4fish","Monsin_culee_1_(RG)",50.6521405,5.630595102
"331","life4fish","Monsin_culee_2",50.65186617,5.630527496
"332","life4fish","Monsin_culee_3",50.65160041,5.630480172
"333","life4fish","Monsin_culee_4",50.65132179,5.630432848
"334","life4fish","Monsin_culee_5_(RD)",50.65102603,5.630385524
"335","life4fish","Monsin_PE_Milieu",50.65318208,5.631027779
"336","life4fish","Monsin_PE_RD",50.65300634,5.631000736
"337","life4fish","Monsin_PE_RG",50.65335568,5.6310413
"338","life4fish","Ramet_1_axe_culee_1_(amont)",50.59244278,5.459264626
"339","life4fish","Ramet_1_axe_culee_2_(amont)",50.59239072,5.459670321
"340","life4fish","Ramet_2_axe_culee_1_(milieux_amont)",50.59254415,5.459497685
"341","life4fish","Ramet_2_axe_culee_2_(aval)",50.59245374,5.460054437
"342","life4fish","Ramet_2D_interieur_BaB",50.59264005,5.459899064
"343","life4fish","Ramet_3_axe_culee_1_(milieux_aval)",50.59256607,5.45992496
"344","life4fish","Ramet_4_axe_culee_1_(aval)",50.59262087,5.460477396
"345","life4fish","Ramet_amont_axe_BaB",50.59256881,5.459268942
"346","life4fish","Ramet_Ancienne_ecluse",50.59107556,5.463714324
"347","life4fish","Ramet_aval_rive_droite",50.59707317,5.480031973
"348","life4fish","Ramet_aval_rive_gauche",50.59718475,5.479274789
"349","life4fish","Ramet_culee_1_(RG)",50.59253045,5.460719086
"350","life4fish","Ramet_culee_2_(MG)",50.59225646,5.460818352
"351","life4fish","Ramet_culee_3_(MD)",50.59199891,5.460874459
"352","life4fish","Ramet_Culee_4_(RD)",50.5917989,5.460917618
"353","life4fish","Ramet_Nouvelle_ecluse",50.59131119,5.462221021
"354","life4fish","Ramet_PE_Milieu",50.5930839,5.460887406
"355","life4fish","Ramet_PE_Rive_droite",50.59296883,5.460930566
"356","life4fish","Ramet_PE_rive_gauche",50.59319898,5.460848563
"357","lifewatch","PlanktonImagingMooring-ICOSbuoy",51.57988997,2.9963775
"358","ws1","ws-1",51.434745,3.636486667
"359","ws1","ws-2",51.44243667,3.645828333
"360","ws1","ws-3",51.43833333,3.647028333
"361","ws1","WS-250m",51.40839,3.45679
"362","ws1","ws-ARV3",51.41182167,3.607175
"363","ws1","ws-DL7",51.471342,3.475013
"364","ws1","ws-DL9",51.465842,3.48868
"365","ws1","ws-DL12",51.466175,3.502181
"366","ws1","ws-GVWSP",51.447341,3.470514
"367","ws1","ws-HSS",51.43212833,3.623928333
"368","ws1","ws-OG10",51.474675,3.510681
"369","ws1","ws-OG16",51.4738,3.5117
"370","ws1","ws-OGDL",51.46395,3.51263
"371","ws1","ws-SP3",51.459333,3.4718333
"372","ws1","ws-SS2",51.42732167,3.627138333
"373","ws1","ws-SS3",51.41726667,3.621633333
"374","ws1","ws-SS4",51.42058,3.630271667
"375","ws1","ws-SS5",51.41178,3.634061667
"376","ws1","ws-STEEN",51.403409,3.465898
"377","ws1","ws-TRAWL",51.437785,3.470347
"378","ws1","ws-VH8",51.38806667,3.608716667
"379","ws1","ws-W6",51.41834,3.453181
"380","ws1","ws-W7",51.410173,3.454515
"381","ws1","ws-WN2",51.428174,3.462181
"382","ws2","ws-2C",51.4169613,3.7188079
"383","ws2","ws-4",51.3970414,3.7153436
"384","ws2","ws-6",51.3913098,3.7161726
"385","ws2","ws-11",51.41163,3.70746
"386","ws2","ws-12",51.37033,3.7511
"387","ws2","ws-12A",51.3648799,3.765539
"388","ws2","ws-13",51.4071859,3.7080883
"389","ws2","ws-14",51.3601518,3.7798113
"390","ws2","ws-15",51.386465,3.7080085
"391","ws2","ws-15A",51.3805457,3.717259
"392","ws2","ws-16",51.3544901,3.795027
"393","ws2","ws-18",51.3482621,3.8147323
"394","ws2","ws-23",51.3552573,3.7609896
"395","ws2","ws-25",51.351926,3.773559
"396","ws2","ws-25A",51.352186,3.781008
"397","ws2","ws-25B",51.3465544,3.800172
"398","ws2","ws-A1",51.3724995,3.7229828
"399","ws2","ws-A3",51.3655375,3.734487
"400","ws2","ws-A5",51.3584544,3.7454284
"401","ws2","ws-borssele",51.431616667,3.704916667
"402","ws2","ws-K",51.3508203,3.7866595
"403","ws2","ws-PPB",51.3536136,3.7376409
"404","ws2","ws-PPC",51.353339,3.7522275
"405","ws2","ws-PVTSS",51.4018055,3.7089134
"406","ws3","ws-42A",51.42251303,4.032860596
"407","ws3","ws-51",51.42389,4.02278
"408","ws3","ws-53",51.41651283,4.027360624
"409","ws3","ws-53A",51.411167,4.029233
"410","ws3","ws-55",51.40221,4.02998
