,animal_project_code,scientific_name,tag_serial_number,acoustic_tag_id,capture_date_time,capture_location,capture_latitude,capture_longitude,capture_method,release_date_time,release_location,release_latitude,release_longitude,length1_type,length1,length1_unit,length2_type,length2,length2_unit,length3_type,length3,length3_unit,length4_type,length4,length4_unit,weight,weight_unit,age,age_unit,sex,life_stage,treatment_type
26,2019_Grotenete,Anguilla anguilla,1294162,"A69-9006-3980,A69-9006-3981",10/10/2019 9:30,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,10/10/2019 11:30,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,786,mm,vertical eye diameter,11.35,mm,horizontal eye diameter,12.54,mm,pectoral fin length,41.98,mm,874,g,NA,NA,female,FV,NA
27,2019_Grotenete,Anguilla anguilla,1294164,"A69-9006-3984,A69-9006-3985",8/10/2020 10:30,Downstream confluent Molse Nete and Grote Nete,51.144779,5.003906,Fyke net,8/10/2020 11:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,781,mm,vertical eye diameter,10.61,mm,horizontal eye diameter,11.28,mm,pectoral fin length,40.05,mm,756,g,NA,NA,female,FV,NA
28,2019_Grotenete,Anguilla anguilla,1294168,"A69-9006-3992,A69-9006-3993",9/10/2020 9:45,Downstream confluent Molse Nete and Grote Nete,51.144779,5.003906,Fyke net,9/10/2020 10:15,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,736,mm,vertical eye diameter,7.05,mm,horizontal eye diameter,7.8,mm,pectoral fin length,37.75,mm,705.6,g,NA,NA,female,FIII,NA
29,2019_Grotenete,Anguilla anguilla,1294172,"A69-9006-4000,A69-9006-4001",14/10/2020 9:45,Molse Nete,51.147663,5.003922,Fyke net,14/10/2020 10:30,Grote Nete 200 m upstream deployment gn-14,51.139997,4.997392,total length,666,mm,vertical eye diameter,7.63,mm,horizontal eye diameter,8,mm,pectoral fin length,29.75,mm,502.2,g,NA,NA,female,FIII,NA
30,2019_Grotenete,Anguilla anguilla,1294171,"A69-9006-3998,A69-9006-3999",14/10/2020 9:55,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,14/10/2020 10:30,Grote Nete 200 m upstream deployment gn-14,51.139997,4.997392,total length,647,mm,vertical eye diameter,8.56,mm,horizontal eye diameter,9.08,mm,pectoral fin length,32.55,mm,464,g,NA,NA,female,FV,NA
31,2019_Grotenete,Anguilla anguilla,1294166,"A69-9006-3988,A69-9006-3989",9/12/2020 10:45,Wildersedijk Grote Nete,51.138881,4.996931,Fyke net,9/12/2020 11:10,Wildersedijk Grote Nete,51.138881,4.996931,total length,660,mm,vertical eye diameter,9.15,mm,horizontal eye diameter,9.17,mm,pectoral fin length,33.24,mm,585.6,g,NA,NA,female,FV,NA
32,2019_Grotenete,Anguilla anguilla,1294169,"A69-9006-3994,A69-9006-3995",16/12/2020 10:00,Upstream weir Maelesbroek,51.14942,5.013359,Fyke net,16/12/2020 12:30,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,780,mm,vertical eye diameter,7.7,mm,horizontal eye diameter,7.89,mm,pectoral fin length,37.76,mm,825.1,g,NA,NA,female,FIII,NA
33,2019_Grotenete,Anguilla anguilla,1294170,"A69-9006-3996,A69-9006-3997",16/12/2020 10:00,Upstream weir Maelesbroek,51.14942,5.013359,Fyke net,16/12/2020 12:30,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,688,mm,vertical eye diameter,10.1,mm,horizontal eye diameter,10.04,mm,pectoral fin length,37.57,mm,637.2,g,NA,NA,female,FV,NA
34,2019_Grotenete,Anguilla anguilla,1294167,"A69-9006-3990,A69-9006-3991",16/12/2020 10:00,Upstream weir Maelesbroek,51.14942,5.013359,Fyke net,16/12/2020 12:30,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,795,mm,vertical eye diameter,10.63,mm,horizontal eye diameter,11.89,mm,pectoral fin length,43.77,mm,1074.5,g,NA,NA,female,FIV,NA
35,2019_Grotenete,Anguilla anguilla,1294165,"A69-9006-3986,A69-9006-3987",16/12/2020 10:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,16/12/2020 12:30,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,688,mm,vertical eye diameter,9.12,mm,horizontal eye diameter,10,mm,pectoral fin length,30.16,mm,557,g,NA,NA,female,FV,NA
36,2019_Grotenete,Anguilla anguilla,1294189,"A69-9006-4034,A69-9006-4035",16/12/2020 10:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,16/12/2020 12:30,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,642,mm,vertical eye diameter,8.9,mm,horizontal eye diameter,8.95,mm,pectoral fin length,33.29,mm,524,g,NA,NA,female,FV,NA
37,2019_Grotenete,Anguilla anguilla,1294190,"A69-9006-4036,A69-9006-4037",16/12/2020 10:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,16/12/2020 12:30,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,649,mm,vertical eye diameter,10.06,mm,horizontal eye diameter,10.71,mm,pectoral fin length,33.59,mm,509.1,g,NA,NA,female,FV,NA
38,2019_Grotenete,Anguilla anguilla,1294191,"A69-9006-4038,A69-9006-4039",18/12/2020 8:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,18/12/2020 10:35,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,686,mm,vertical eye diameter,7.27,mm,horizontal eye diameter,7.68,mm,pectoral fin length,28.41,mm,514.6,g,NA,NA,female,FIII,NA
39,2019_Grotenete,Anguilla anguilla,1293822,"A69-9006-3944,A69-9006-3945",18/12/2020 8:00,Upstream weir Maelesbroek,51.14942,5.013359,Fyke net,18/12/2020 10:35,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,705,mm,vertical eye diameter,9.66,mm,horizontal eye diameter,9.69,mm,pectoral fin length,32.72,mm,609.3,g,NA,NA,female,FV,NA
